JNose-AR,Manual-AR,JNose-CTL,Manual-CTL,JNose-CI,Manual-CI,JNose-DA,Manual-DA,JNose-MNT,Manual-MNT,JNose-VT,Manual-VT,JNose-ST,Manual-ST,JNose-EmT,Manual-EmT,JNose-UT,Manual-UT,JNose-PS,Manual-PS,JNose-ECT,Manual-ECT,JNose-SE,Manual-SE,JNose-RA,Manual-RA,JNose-RO,Manual-RO,JNose-GF,Manual-GF,JNose-MG,Manual-MG,JNose-LT,Manual-LT,JNose-ET,Manual-ET
17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
